# Derived by scripture-chronology build; do not hand-edit.
# One row a maximal run of consecutive verses the corpus answers alike,
# in canonical vulgate numbering. guidance/scripture-chronology.md §13.
locus	verses	status	relations	subjects
1Par.26.1-32	32	inherited	composition	composition.first-book-of-paralipomenon
1Par.27.1-34	34	inherited	composition	composition.first-book-of-paralipomenon
1Par.28.1-21	21	inherited	composition	composition.first-book-of-paralipomenon
1Par.29.1-30	30	inherited	composition	composition.first-book-of-paralipomenon
2Par.1.1-17	17	inherited	composition	composition.second-book-of-paralipomenon
2Par.2.1-18	18	inherited	composition	composition.second-book-of-paralipomenon
2Par.3.1-2	2	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.monarchy.temple-begun
2Par.3.3-17	15	inherited	composition	composition.second-book-of-paralipomenon
2Par.4.1-22	22	inherited	composition	composition.second-book-of-paralipomenon
2Par.5.1-14	14	inherited	composition	composition.second-book-of-paralipomenon
2Par.6.1-42	42	inherited	composition	composition.second-book-of-paralipomenon
2Par.7.1-22	22	inherited	composition	composition.second-book-of-paralipomenon
2Par.8.1-18	18	inherited	composition	composition.second-book-of-paralipomenon
2Par.9.1-31	31	inherited	composition	composition.second-book-of-paralipomenon
2Par.10.1-19	19	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.divided-kingdom.division
2Par.11.1-23	23	inherited	composition	composition.second-book-of-paralipomenon
2Par.12.1	1	inherited	composition	composition.second-book-of-paralipomenon
2Par.12.2-9	8	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.divided-kingdom.sesac-invasion
2Par.12.10-16	7	inherited	composition	composition.second-book-of-paralipomenon
2Par.13.1-22	22	inherited	composition	composition.second-book-of-paralipomenon
2Par.14.1-15	15	inherited	composition	composition.second-book-of-paralipomenon
2Par.15.1-19	19	inherited	composition	composition.second-book-of-paralipomenon
2Par.16.1-14	14	inherited	composition	composition.second-book-of-paralipomenon
2Par.17.1-19	19	inherited	composition	composition.second-book-of-paralipomenon
2Par.18.1-34	34	inherited	composition	composition.second-book-of-paralipomenon
2Par.19.1-11	11	inherited	composition	composition.second-book-of-paralipomenon
2Par.20.1-37	37	inherited	composition	composition.second-book-of-paralipomenon
2Par.21.1-20	20	inherited	composition	composition.second-book-of-paralipomenon
2Par.22.1-12	12	inherited	composition	composition.second-book-of-paralipomenon
2Par.23.1-21	21	inherited	composition	composition.second-book-of-paralipomenon
2Par.24.1-27	27	inherited	composition	composition.second-book-of-paralipomenon
2Par.25.1-28	28	inherited	composition	composition.second-book-of-paralipomenon
2Par.26.1-23	23	inherited	composition	composition.second-book-of-paralipomenon
2Par.27.1-9	9	inherited	composition	composition.second-book-of-paralipomenon
2Par.28.1-27	27	inherited	composition	composition.second-book-of-paralipomenon
2Par.29.1-3	3	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.divided-kingdom.ezechias-accession
2Par.29.4-36	33	inherited	composition	composition.second-book-of-paralipomenon
2Par.30.1-27	27	inherited	composition	composition.second-book-of-paralipomenon
2Par.31.1-21	21	inherited	composition	composition.second-book-of-paralipomenon
2Par.32.1-22	22	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.divided-kingdom.sennacherib-invasion
2Par.32.23-33	11	inherited	composition	composition.second-book-of-paralipomenon
2Par.33.1-25	25	inherited	composition	composition.second-book-of-paralipomenon
2Par.34.1-2	2	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.divided-kingdom.josias-reign
2Par.34.3-33	31	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.divided-kingdom.josias-reform
2Par.35.1-19	19	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.divided-kingdom.josias-reform
2Par.35.20-27	8	inherited	composition	composition.second-book-of-paralipomenon
2Par.36.1-3	3	inherited	composition	composition.second-book-of-paralipomenon
2Par.36.4-5	2	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.exile.joakim-accession
2Par.36.6-7	2	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.exile.first-captivity
2Par.36.8	1	inherited	composition	composition.second-book-of-paralipomenon
2Par.36.9-10	2	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.exile.second-captivity
2Par.36.11-13	3	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.exile.sedecias-reign
2Par.36.14-16	3	inherited	composition	composition.second-book-of-paralipomenon
2Par.36.17-18	2	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.exile.third-captivity
2Par.36.19	1	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.exile.burning-of-the-temple,israel.exile.third-captivity
2Par.36.20	1	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.exile.seventy-years,israel.exile.third-captivity
2Par.36.21	1	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.exile.seventy-years
2Par.36.22-23	2	dated	composition,narrated-event	composition.second-book-of-paralipomenon,israel.restoration.decree-of-cyrus
1Esd.1.1-4	4	dated	narrated-event	israel.restoration.decree-of-cyrus
1Esd.1.5-11	7	research-pending		
1Esd.2.1-70	70	research-pending		
1Esd.3.1-7	7	research-pending		
1Esd.3.8-13	6	dated	narrated-event	israel.restoration.temple-raised-by-zorobabel
1Esd.4.1-23	23	research-pending		
1Esd.4.24	1	dated	narrated-event	israel.restoration.temple-work-resumed
1Esd.5.1-2	2	dated	narrated-event	israel.restoration.temple-work-resumed
1Esd.5.3-17	15	research-pending		
1Esd.6.1-13	13	research-pending		
1Esd.6.14-18	5	dated	narrated-event	israel.restoration.second-temple-completed
1Esd.6.19-22	4	research-pending		
1Esd.7.1-5	5	research-pending		
1Esd.7.6-10	5	dated	narrated-event	israel.restoration.esdras-return
1Esd.7.11-28	18	research-pending		
1Esd.8.1-36	36	research-pending		
1Esd.9.1-15	15	research-pending		
1Esd.10.1-44	44	research-pending		
2Esd.1.1-11	11	research-pending		
2Esd.2.1-8	8	dated	narrated-event	israel.restoration.nehemias-mission
2Esd.2.9-20	12	research-pending		
2Esd.3.1-31	31	research-pending		
2Esd.4.1-23	23	research-pending		
2Esd.5.1-19	19	research-pending		
2Esd.6.1-14	14	research-pending		
2Esd.6.15-16	2	dated	narrated-event	israel.restoration.nehemias-mission
2Esd.6.17-19	3	research-pending		
2Esd.7.1-73	73	research-pending		
2Esd.8.1-18	18	research-pending		
2Esd.9.1-5	5	research-pending		
2Esd.9.6	1	dated	retrospective-event	israel.primeval.creation
2Esd.9.7-8	2	dated	retrospective-event	israel.patriarchs.call-of-abram
2Esd.9.9-12	4	dated	retrospective-event	israel.exodus.the-exodus
2Esd.9.13-14	2	dated	retrospective-event	israel.wilderness.arrival-at-sinai
2Esd.9.15	1	dated	retrospective-event	israel.wilderness.manna
2Esd.9.16-17	2	research-pending		
2Esd.9.18	1	dated	retrospective-event	israel.wilderness.golden-calf
2Esd.9.19	1	research-pending		
2Esd.9.20	1	dated	retrospective-event	israel.wilderness.manna
2Esd.9.21	1	dated	retrospective-event	israel.wilderness.forty-years-in-the-desert
2Esd.9.22-38	17	research-pending		
2Esd.10.1-39	39	research-pending		
2Esd.11.1-36	36	research-pending		
2Esd.12.1-46	46	research-pending		
2Esd.13.1-5	5	research-pending		
2Esd.13.6-7	2	dated	narrated-event	israel.restoration.nehemias-second-mission
2Esd.13.8-31	24	research-pending		
Tob.1.1-25	25	inherited	composition	composition.book-of-tobias
Tob.2.1-23	23	inherited	composition	composition.book-of-tobias
Tob.3.1-25	25	inherited	composition	composition.book-of-tobias
Tob.4.1-23	23	inherited	composition	composition.book-of-tobias
Tob.5.1-28	28	inherited	composition	composition.book-of-tobias
Tob.6.1-22	22	inherited	composition	composition.book-of-tobias
Tob.7.1-20	20	inherited	composition	composition.book-of-tobias
Tob.8.1-24	24	inherited	composition	composition.book-of-tobias
Tob.9.1-12	12	inherited	composition	composition.book-of-tobias
Tob.10.1-13	13	inherited	composition	composition.book-of-tobias
Tob.11.1-21	21	inherited	composition	composition.book-of-tobias
Tob.12.1-22	22	inherited	composition	composition.book-of-tobias
Tob.13.1-23	23	inherited	composition	composition.book-of-tobias
Tob.14.1-17	17	inherited	composition	composition.book-of-tobias
Jdt.1.1-12	12	undated-in-tradition		
Jdt.2.1-18	18	undated-in-tradition		
Jdt.3.1-15	15	undated-in-tradition		
Jdt.4.1-17	17	undated-in-tradition		
Jdt.5.1-29	29	undated-in-tradition		
Jdt.6.1-21	21	undated-in-tradition		
Jdt.7.1-25	25	undated-in-tradition		
Jdt.8.1-34	34	undated-in-tradition		
Jdt.9.1-19	19	undated-in-tradition		
Jdt.10.1-20	20	undated-in-tradition		
Jdt.11.1-21	21	undated-in-tradition		
Jdt.12.1-20	20	undated-in-tradition		
Jdt.13.1-31	31	undated-in-tradition		
Jdt.14.1-18	18	undated-in-tradition		
Jdt.15.1-15	15	undated-in-tradition		
Jdt.16.1-31	31	undated-in-tradition		
Esth.1.1-22	22	inherited	composition	composition.book-of-esther
Esth.2.1-23	23	inherited	composition	composition.book-of-esther
Esth.3.1-15	15	inherited	composition	composition.book-of-esther
Esth.4.1-17	17	inherited	composition	composition.book-of-esther
Esth.5.1-14	14	inherited	composition	composition.book-of-esther
Esth.6.1-14	14	inherited	composition	composition.book-of-esther
Esth.7.1-10	10	inherited	composition	composition.book-of-esther
Esth.8.1-17	17	inherited	composition	composition.book-of-esther
Esth.9.1-32	32	inherited	composition	composition.book-of-esther
Esth.10.1-13	13	inherited	composition	composition.book-of-esther
Esth.11.1-12	12	inherited	composition	composition.book-of-esther
Esth.12.1-6	6	inherited	composition	composition.book-of-esther
Esth.13.1-18	18	inherited	composition	composition.book-of-esther
Esth.14.1-19	19	inherited	composition	composition.book-of-esther
Esth.15.1-19	19	inherited	composition	composition.book-of-esther
Esth.16.1-24	24	inherited	composition	composition.book-of-esther
Job.1.1-22	22	undated-in-tradition		
Job.2.1-13	13	undated-in-tradition		
Job.3.1-26	26	undated-in-tradition		
Job.4.1-21	21	undated-in-tradition		
Job.5.1-27	27	undated-in-tradition		
Job.6.1-30	30	undated-in-tradition		
Job.7.1-21	21	undated-in-tradition		
Job.8.1-22	22	undated-in-tradition		
Job.9.1-35	35	undated-in-tradition		
Job.10.1-22	22	undated-in-tradition		
Job.11.1-20	20	undated-in-tradition		
Job.12.1-25	25	undated-in-tradition		
Job.13.1-28	28	undated-in-tradition		
Job.14.1-22	22	undated-in-tradition		
Job.15.1-35	35	undated-in-tradition		
Job.16.1-23	23	undated-in-tradition		
Job.17.1-16	16	undated-in-tradition		
Job.18.1-21	21	undated-in-tradition		
Job.19.1-29	29	undated-in-tradition		
Job.20.1-29	29	undated-in-tradition		
Job.21.1-34	34	undated-in-tradition		
Job.22.1-30	30	undated-in-tradition		
Job.23.1-17	17	undated-in-tradition		
Job.24.1-25	25	undated-in-tradition		
Job.25.1-6	6	undated-in-tradition		
Job.26.1-14	14	undated-in-tradition		
Job.27.1-23	23	undated-in-tradition		
Job.28.1-28	28	undated-in-tradition		
Job.29.1-25	25	undated-in-tradition		
Job.30.1-31	31	undated-in-tradition		
Job.31.1-40	40	undated-in-tradition		
Job.32.1-22	22	undated-in-tradition		
Job.33.1-33	33	undated-in-tradition		
Job.34.1-37	37	undated-in-tradition		
Job.35.1-16	16	undated-in-tradition		
Job.36.1-33	33	undated-in-tradition		
Job.37.1-24	24	undated-in-tradition		
Job.38.1-41	41	undated-in-tradition		
Job.39.1-35	35	undated-in-tradition		
Job.40.1-28	28	undated-in-tradition		
Job.41.1-25	25	undated-in-tradition		
Job.42.1-16	16	undated-in-tradition		
Ps.1.1-6	6	research-pending		
Ps.2.1-13	13	research-pending		
Ps.3.1-9	9	dated	superscription-setting	israel.monarchy.david-flight-from-absalom
Ps.4.1-10	10	research-pending		
Ps.5.1-13	13	research-pending		
Ps.6.1-11	11	research-pending		
Ps.7.1-18	18	research-pending		
Ps.8.1-10	10	research-pending		
Ps.9.1-39	39	research-pending		
Ps.10.1-8	8	research-pending		
Ps.11.1-9	9	research-pending		
Ps.12.1-6	6	research-pending		
Ps.13.1-7	7	research-pending		
Ps.14.1-5	5	research-pending		
Ps.15.1-10	10	research-pending		
Ps.16.1-15	15	research-pending		
Ps.17.1-51	51	research-pending		
Ps.18.1-15	15	research-pending		
Ps.19.1-10	10	research-pending		
Ps.20.1-14	14	research-pending		
Ps.21.1	1	dated	historical-setting,prophetic-referent	israel.monarchy.david-reign,life-of-christ.crucifixion
Ps.21.2	1	dated	historical-setting,prophetic-referent,utterance	israel.monarchy.david-reign,life-of-christ.crucifixion
Ps.21.3-32	30	dated	historical-setting,prophetic-referent	israel.monarchy.david-reign,life-of-christ.crucifixion
Ps.22.1-6	6	research-pending		
Ps.23.1-10	10	research-pending		
Ps.24.1-22	22	research-pending		
Ps.25.1-12	12	research-pending		
Ps.26.1-14	14	research-pending		
Ps.27.1-9	9	research-pending		
Ps.28.1-11	11	research-pending		
Ps.29.1-13	13	research-pending		
Ps.30.1-5	5	dated	historical-setting	israel.monarchy.david-in-the-desert-of-maon
Ps.30.6	1	dated	historical-setting,utterance	israel.monarchy.david-in-the-desert-of-maon,life-of-christ.crucifixion
Ps.30.7-25	19	dated	historical-setting	israel.monarchy.david-in-the-desert-of-maon
Ps.31.1-11	11	research-pending		
Ps.32.1-22	22	research-pending		
Ps.33.1-23	23	dated	superscription-setting	israel.monarchy.david-at-geth
Ps.34.1-28	28	research-pending		
Ps.35.1-13	13	research-pending		
Ps.36.1-40	40	research-pending		
Ps.37.1-23	23	research-pending		
Ps.38.1-14	14	research-pending		
Ps.39.1-18	18	research-pending		
Ps.40.1-14	14	research-pending		
Ps.41.1-12	12	research-pending		
Ps.42.1-5	5	research-pending		
Ps.43.1-26	26	research-pending		
Ps.44.1-18	18	research-pending		
Ps.45.1-12	12	research-pending		
Ps.46.1-10	10	research-pending		
Ps.47.1-15	15	research-pending		
Ps.48.1-21	21	research-pending		
Ps.49.1-23	23	research-pending		
Ps.50.1-21	21	dated	superscription-setting	israel.monarchy.david-repentance
Ps.51.1-11	11	research-pending		
Ps.52.1-7	7	research-pending		
Ps.53.1-9	9	dated	superscription-setting	israel.monarchy.david-in-the-desert-of-maon
Ps.54.1-24	24	research-pending		
Ps.55.1-13	13	dated	superscription-setting	israel.monarchy.david-at-geth
Ps.56.1-12	12	research-pending		
Ps.57.1-12	12	research-pending		
Ps.58.1-18	18	research-pending		
Ps.59.1-14	14	research-pending		
Ps.60.1-9	9	research-pending		
Ps.61.1-13	13	research-pending		
Ps.62.1-12	12	dated	historical-setting	israel.monarchy.david-flight-from-absalom
Ps.63.1-11	11	research-pending		
Ps.64.1-14	14	research-pending		
Ps.65.1-20	20	research-pending		
Ps.66.1-8	8	research-pending		
Ps.67.1-36	36	research-pending		
Ps.68.1-37	37	research-pending		
Ps.69.1-6	6	research-pending		
Ps.70.1-24	24	dated	historical-setting,superscription-setting	israel.exile.first-captivity,israel.monarchy.david-flight-from-absalom
Ps.71.1-20	20	research-pending		
Ps.72.1-28	28	research-pending		
Ps.73.1-23	23	research-pending		
Ps.74.1-11	11	research-pending		
Ps.75.1-13	13	research-pending		
Ps.76.1-21	21	research-pending		
Ps.77.1-11	11	research-pending		
Ps.77.12-13	2	dated	retrospective-event	israel.exodus.the-exodus
Ps.77.14-22	9	research-pending		
Ps.77.23-25	3	dated	retrospective-event	israel.wilderness.manna
Ps.77.26-39	14	research-pending		
Ps.77.40-41	2	dated	retrospective-event	israel.wilderness.forty-years-in-the-desert
Ps.77.42-53	12	dated	retrospective-event	israel.exodus.the-exodus
Ps.77.54-72	19	research-pending		
Ps.78.1-13	13	research-pending		
Ps.79.1-20	20	research-pending		
Ps.80.1-5	5	research-pending		
Ps.80.6-7	2	dated	retrospective-event	israel.exodus.the-exodus
Ps.80.8-17	10	research-pending		
Ps.81.1-8	8	research-pending		
Ps.82.1-19	19	research-pending		
Ps.83.1-13	13	research-pending		
Ps.84.1-14	14	research-pending		
Ps.85.1-17	17	research-pending		
Ps.86.1-7	7	research-pending		
Ps.87.1-19	19	research-pending		
Ps.88.1-53	53	dated	historical-setting	israel.exile.third-captivity
Ps.89.1-17	17	research-pending		
Ps.90.1-16	16	research-pending		
Ps.91.1-16	16	research-pending		
Ps.92.1-5	5	research-pending		
Ps.93.1-23	23	research-pending		
Ps.94.1-8	8	research-pending		
Ps.94.9-11	3	dated	retrospective-event	israel.wilderness.forty-years-in-the-desert
Ps.95.1-13	13	dated	superscription-setting	israel.restoration.temple-raised-by-zorobabel
Ps.96.1-12	12	research-pending		
Ps.97.1-9	9	research-pending		
Ps.98.1-9	9	research-pending		
Ps.99.1-5	5	research-pending		
Ps.100.1-8	8	research-pending		
Ps.101.1-29	29	research-pending		
Ps.102.1-22	22	research-pending		
Ps.103.1-35	35	research-pending		
Ps.104.1-22	22	research-pending		
Ps.104.23	1	dated	retrospective-event	israel.egypt.descent
Ps.104.24-25	2	dated	retrospective-event	israel.egypt.sojourn
Ps.104.26-38	13	dated	retrospective-event	israel.exodus.the-exodus
Ps.104.39	1	research-pending		
Ps.104.40	1	dated	retrospective-event	israel.wilderness.manna
Ps.104.41-42	2	research-pending		
Ps.104.43	1	dated	retrospective-event	israel.exodus.the-exodus
Ps.104.44-45	2	research-pending		
Ps.105.1-6	6	research-pending		
Ps.105.7-12	6	dated	retrospective-event	israel.exodus.the-exodus
Ps.105.13-18	6	research-pending		
Ps.105.19-20	2	dated	retrospective-event	israel.wilderness.golden-calf
Ps.105.21-22	2	dated	retrospective-event	israel.exodus.the-exodus
Ps.105.23	1	research-pending		
Ps.105.24-27	4	dated	retrospective-event	israel.wilderness.forty-years-in-the-desert
Ps.105.28-48	21	research-pending		
Ps.106.1-43	43	research-pending		
Ps.107.1-14	14	research-pending		
Ps.108.1-31	31	research-pending		
Ps.109.1-7	7	research-pending		
Ps.110.1-10	10	research-pending		
Ps.111.1-10	10	research-pending		
Ps.112.1-9	9	research-pending		
Ps.113.1-2	2	dated	retrospective-event	israel.exodus.the-exodus
Ps.113.3-5	3	dated	retrospective-event	israel.conquest.crossing-of-the-jordan,israel.exodus.the-exodus
Ps.113.6-26	21	research-pending		
Ps.114.1-9	9	research-pending		
Ps.115.1-10	10	research-pending		
Ps.116.1-2	2	research-pending		
Ps.117.1-29	29	research-pending		
Ps.118.1-176	176	research-pending		
Ps.119.1-7	7	research-pending		
Ps.120.1-8	8	research-pending		
Ps.121.1-9	9	research-pending		
Ps.122.1-4	4	research-pending		
Ps.123.1-8	8	research-pending		
Ps.124.1-5	5	research-pending		
Ps.125.1-6	6	research-pending		
Ps.126.1-5	5	research-pending		
Ps.127.1-6	6	research-pending		
Ps.128.1-8	8	research-pending		
Ps.129.1-8	8	research-pending		
Ps.130.1-3	3	research-pending		
Ps.131.1-18	18	research-pending		
Ps.132.1-3	3	research-pending		
Ps.133.1-3	3	research-pending		
Ps.134.1-21	21	research-pending		
Ps.135.1-4	4	research-pending		
Ps.135.5-9	5	dated	retrospective-event	israel.primeval.creation
Ps.135.10-15	6	dated	retrospective-event	israel.exodus.the-exodus
Ps.135.16	1	dated	retrospective-event	israel.wilderness.forty-years-in-the-desert
Ps.135.17-26	10	research-pending		
Ps.136.1-9	9	research-pending		
Ps.137.1-8	8	research-pending		
Ps.138.1-24	24	research-pending		
Ps.139.1-14	14	research-pending		
Ps.140.1-10	10	research-pending		
Ps.141.1-8	8	research-pending		
Ps.142.1-12	12	dated	superscription-setting	israel.monarchy.david-flight-from-absalom
Ps.143.1-15	15	research-pending		
Ps.144.1-21	21	research-pending		
Ps.145.1-10	10	research-pending		
Ps.146.1-11	11	research-pending		
Ps.147.1-9	9	research-pending		
Ps.148.1-14	14	research-pending		
Ps.149.1-9	9	research-pending		
Ps.150.1-6	6	research-pending		
Prov.1.1-33	33	undated-in-tradition		
Prov.2.1-22	22	undated-in-tradition		
Prov.3.1-35	35	undated-in-tradition		
Prov.4.1-27	27	undated-in-tradition		
Prov.5.1-23	23	undated-in-tradition		
Prov.6.1-35	35	undated-in-tradition		
Prov.7.1-27	27	undated-in-tradition		
Prov.8.1-36	36	undated-in-tradition		
Prov.9.1-18	18	undated-in-tradition		
Prov.10.1-32	32	undated-in-tradition		
Prov.11.1-31	31	undated-in-tradition		
Prov.12.1-28	28	undated-in-tradition		
Prov.13.1-25	25	undated-in-tradition		
Prov.14.1-35	35	undated-in-tradition		
Prov.15.1-33	33	undated-in-tradition		
Prov.16.1-33	33	undated-in-tradition		
Prov.17.1-28	28	undated-in-tradition		
Prov.18.1-24	24	undated-in-tradition		
Prov.19.1-29	29	undated-in-tradition		
Prov.20.1-30	30	undated-in-tradition		
Prov.21.1-31	31	undated-in-tradition		
Prov.22.1-29	29	undated-in-tradition		
Prov.23.1-35	35	undated-in-tradition		
Prov.24.1-34	34	undated-in-tradition		
Prov.25.1-28	28	undated-in-tradition		
Prov.26.1-28	28	undated-in-tradition		
Prov.27.1-27	27	undated-in-tradition		
Prov.28.1-28	28	undated-in-tradition		
Prov.29.1-27	27	undated-in-tradition		
Prov.30.1-33	33	undated-in-tradition		
Prov.31.1-31	31	undated-in-tradition		
Eccles.1.1-18	18	undated-in-tradition		
Eccles.2.1-26	26	undated-in-tradition		
Eccles.3.1-22	22	undated-in-tradition		
Eccles.4.1-17	17	undated-in-tradition		
Eccles.5.1-19	19	undated-in-tradition		
Eccles.6.1-11	11	undated-in-tradition		
Eccles.7.1-30	30	undated-in-tradition		
Eccles.8.1-17	17	undated-in-tradition		
Eccles.9.1-18	18	undated-in-tradition		
Eccles.10.1-20	20	undated-in-tradition		
Eccles.11.1-10	10	undated-in-tradition		
Eccles.12.1-14	14	undated-in-tradition		
Cant.1.1-16	16	undated-in-tradition		
Cant.2.1-17	17	undated-in-tradition		
Cant.3.1-11	11	undated-in-tradition		
Cant.4.1-16	16	undated-in-tradition		
Cant.5.1-17	17	undated-in-tradition		
Cant.6.1-12	12	undated-in-tradition		
Cant.7.1-13	13	undated-in-tradition		
Cant.8.1-14	14	undated-in-tradition		
Wis.1.1-16	16	inherited	composition	composition.book-of-wisdom
Wis.2.1-25	25	inherited	composition	composition.book-of-wisdom
Wis.3.1-19	19	inherited	composition	composition.book-of-wisdom
Wis.4.1-20	20	inherited	composition	composition.book-of-wisdom
Wis.5.1-24	24	inherited	composition	composition.book-of-wisdom
Wis.6.1-27	27	inherited	composition	composition.book-of-wisdom
Wis.7.1-30	30	inherited	composition	composition.book-of-wisdom
Wis.8.1-21	21	inherited	composition	composition.book-of-wisdom
Wis.9.1-19	19	inherited	composition	composition.book-of-wisdom
Wis.10.1-21	21	inherited	composition	composition.book-of-wisdom
Wis.11.1-27	27	inherited	composition	composition.book-of-wisdom
Wis.12.1-27	27	inherited	composition	composition.book-of-wisdom
Wis.13.1-19	19	inherited	composition	composition.book-of-wisdom
Wis.14.1-31	31	inherited	composition	composition.book-of-wisdom
Wis.15.1-19	19	inherited	composition	composition.book-of-wisdom
Wis.16.1-29	29	inherited	composition	composition.book-of-wisdom
Wis.17.1-20	20	inherited	composition	composition.book-of-wisdom
Wis.18.1-25	25	inherited	composition	composition.book-of-wisdom
Wis.19.1-20	20	inherited	composition	composition.book-of-wisdom
Ecclus.1.1-40	40	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.2.1-23	23	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.3.1-34	34	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.4.1-36	36	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.5.1-18	18	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.6.1-37	37	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.7.1-40	40	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.8.1-22	22	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.9.1-25	25	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.10.1-34	34	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.11.1-36	36	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.12.1-19	19	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.13.1-32	32	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.14.1-27	27	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.15.1-22	22	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.16.1-31	31	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.17.1-31	31	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.18.1-33	33	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.19.1-28	28	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.20.1-33	33	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.21.1-31	31	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.22.1-33	33	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.23.1-38	38	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.24.1-47	47	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.25.1-36	36	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.26.1-28	28	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.27.1-33	33	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.28.1-30	30	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.29.1-35	35	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.30.1-27	27	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.31.1-42	42	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.32.1-28	28	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.33.1-33	33	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.34.1-31	31	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.35.1-26	26	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.36.1-28	28	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.37.1-34	34	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.38.1-39	39	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.39.1-41	41	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.40.1-32	32	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.41.1-28	28	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.42.1-26	26	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.43.1-37	37	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.44.1-27	27	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.45.1-31	31	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.46.1-23	23	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.47.1-31	31	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.48.1-28	28	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.49.1-19	19	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.50.1-31	31	inherited	composition	composition.book-of-ecclesiasticus
Ecclus.51.1-38	38	inherited	composition	composition.book-of-ecclesiasticus
Is.1.1-31	31	inherited	composition	composition.book-of-isaias
Is.2.1-22	22	inherited	composition	composition.book-of-isaias
Is.3.1-26	26	inherited	composition	composition.book-of-isaias
Is.4.1-6	6	inherited	composition	composition.book-of-isaias
Is.5.1-30	30	inherited	composition	composition.book-of-isaias
Is.6.1-13	13	inherited	composition	composition.book-of-isaias
Is.7.1-13	13	inherited	composition	composition.book-of-isaias
Is.7.14	1	dated	composition,prophetic-referent	composition.book-of-isaias,life-of-christ.nativity
Is.7.15-25	11	inherited	composition	composition.book-of-isaias
Is.8.1-22	22	inherited	composition	composition.book-of-isaias
Is.9.1-21	21	inherited	composition	composition.book-of-isaias
Is.10.1-34	34	inherited	composition	composition.book-of-isaias
Is.11.1-16	16	inherited	composition	composition.book-of-isaias
Is.12.1-6	6	inherited	composition	composition.book-of-isaias
Is.13.1-22	22	inherited	composition	composition.book-of-isaias
