# Post-audit correction ledger for the cold audit of corpus 2330d63a5.
# One row per standing audit finding; every one of the 104 appears exactly once.
# Dispositions: fixed | withdrawn-after-new-evidence | blocked-source | maintainer-disposition
finding_id	claim_id	severity	audit_result	correction_disposition	source_record	source_locus	changed_claim_or_scope	changed_files	correction_summary	test_or_check	re_review_required	notes
E1-018	event:israel.monarchy.absalom-revolt#0	major	CHANGES_REQUIRED	fixed	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.second-kings-15-absalom-conspiracy-chronology	2Kings.15.7, tracked Douay-Rheims; Haydock note at 'Ver. 7. Forty', artifact PDF page 430 (printed p. 400)	event:israel.monarchy.absalom-revolt#0 (via A3-006)	src/sources/chronology/events.yaml	Satisfied by A3-006, which corrects the same claim more fully. Both findings identify the same defect - israel.monarchy.david-reign is an origin no source proposes. This lane took A3-006's fix rather than this one's: moving the anchor to israel.monarchy.demand-for-a-king would have adopted Vatable's terminus, and Haydock only REPORTS Vatable and Salien in their own voices, which is the §4.3 / §15.1(3) shape this corpus was corrected for. The anchor is israel.monarchy.absalom-preparations, carrying narrative sequence only, with both rival origins recorded as reported and neither adopted.	tools/tpt scripture-chronology validate; tools/tpt scripture-chronology query 2Kings.15.7	yes	Deduplicated by the lead: two auditors reached the same claim from different classes and proposed different anchors. The one that adopts neither reported opinion is the one the profile permits.
E2-007	event:israel.exile.second-captivity#0	major	CHANGES_REQUIRED	fixed	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	Ps.70.1, commentary note, artifact PDF page 776 (printed p. 740)	event:israel.exile.second-captivity#0	src/sources/chronology/events.yaml	The A.M. 3405 claim is demoted from `preferred` to `alternate`, and its basis quotation is replaced with the page's own sentence: it had quoted 'the second under Jechonias as A.M. 3405', which is this repository's passage-record prose, where the page reads 'the second, under Jechonias, 3405'.	tools/tpt scripture-chronology validate; tools/tpt scripture-chronology query 4Kings.24.12	yes	MUST land with LEAD-013, which authors the rank-1 4 Kings 24:12 claim as `preferred`. Applied alone this leaves israel.exile.second-captivity with two claims and neither preferred nor disputed, which scripts/_chronology.py:_claims refuses. After both, the subject holds one rank-1 preferred and two alternates (rank 3 A.M. 3405, rank 6 597 B.C.), the shape israel.exile.first-captivity already has. P-011 carries the matching fix to the 597 B.C. claim's note, which says 'the Anno Mundi figure preferred above'. The verbatim page sentence I have quoted normalises two OCR artefacts ('A.M:' and '8405'); the passage record, which was read from the page image, is the authority for A.M. 3398/3405/3416, and the note now discloses the discrepancy so a cold reviewer running the same OCR is not misled.
E3-009	unit:composition.book-of-abdias#0	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01030b-f708bbb1	Gigot, "Abdias", section "Date of the prophecy of Abdias"	unit:composition.book-of-abdias#0	src/sources/chronology/composition.yaml	The ninth-century composition date is re-disposed from `preferred` to `disputed`. Every word of its ground is in the voice of five named third parties and is reported with distancing verbs ('we are told', 'it is claimed', 'Hence it is inferred', 'The inference is said also to be confirmed'), which is Sec. 15.1(3) exactly; the article opens the section by saying scholars do not agree. The year band, the label and the structured bounds are unchanged.	tools/tpt scripture-chronology validate; tools/tpt scripture-chronology query Abd.1.1	yes	I took the finding's first option (`disputed`) rather than withdrawal and typed silence, for two reasons. First, `disputed` is the literally correct disposition here: Sec. 4.4 defines it as a sourced claim in unsettled disagreement, and the article prints three rival positions and refuses to decide - so this is not the Esdras case, where the corpus had a bare 'as most critics think' and nothing else. Second, a gaps row would have to assert that tradition dates the book nowhere, when what is true is narrower: a ranked Catholic work reports a dating it does not adopt. The brief's rule is to use the narrowest truthful negative status. A lone `disputed` is legal and is an established pattern in this corpus (life-of-christ.baptism, .public-ministry-begins, .last-supper, israel.monarchy.birth-of-david). Abd's 21 verses stay `composition-only`; no gaps row is needed and coverage.tsv is unchanged for them. The Babylonian-Captivity and later opinions are still not authored, because the source prints no year for either.
E3-010	unit:composition.book-of-jonas#0	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08497b-3ef68123	Driscoll, "Jonah", closing paragraph on authorship	unit:composition.book-of-jonas#0 and the whole unit composition.book-of-jonas (withdrawn)	src/sources/chronology/composition.yaml	The composition unit for Jonas is withdrawn. The article gives no date for the writing: its eighth century belongs to a parenthesis about the PROPHET'S lifetime, in the unattributed hedged form 'is supposed to have lived', inside a sentence whose main clause denies that the book claims the Prophet as its author; and its 'probably the fifth century B.C.' is in the 'most modern scholars' voice Sec. 4.3 excludes. Typed silence is authored in gaps.yaml under LEAD-017.	tools/tpt scripture-chronology validate; tools/tpt scripture-chronology coverage; tools/tpt scripture-chronology build (coverage.tsv rows for Jon.1.1-16, Jon.2.1-11, Jon.3.1-10, Jon.4.1-11 move from composition-only to undated-in-tradition)	yes	MUST land with LEAD-017's gaps.yaml row, in the same commit. Jonas has no narrated-event or other binding - I checked bindings.yaml and coverage.tsv, where all 48 verses are `composition-only` reached solely by this unit - so without the gap row every verse of Jonas falls to `research-pending` and the coverage accounting breaks. Verified the article carries only two B.C. loci in total, at the retained text's authorship paragraph and at 'the reign of either Asurdanil or Asurnirar (770-745 B.C.)' / 'a pest had ravaged the land from 765 till 759 B.C.', and neither dates the writing. The narrated-event figures are NOT re-authored elsewhere by this lane; that would be new population the brief forbids. coverage.tsv must be rebuilt in the same commit (guidance Sec. 13).
LEAD-010	event:apostolic-age.return-of-saint-john-from-patmos#0; event:israel.judges.period#0; unit:composition.psalm-73#0; unit:composition.psalms-of-the-sons-of-korah#0; event:israel.exodus.the-plagues-of-egypt#1; event:israel.wilderness.encampment-at-sinai#0	major	CHANGES_REQUIRED	fixed	the prior lane's .scratch/audit/durations.md §3.1, re-derived against the corpus	PROJECT-WORK.md; src/sources/chronology/cold-audit-report.md	six claims dispositioned by name; see the correcting agent's row and the anchor table in cold-audit-report.md	PROJECT-WORK.md, src/sources/chronology/events.yaml	Both limbs closed. The six claims are dispositioned by name - one fixed (israel.judges.period#0, re-anchored off saul-accession and its reordered statement restored to the Douay's word order), one disclosed (the-plagues-of-egypt#1), four left unchanged with the reason each is already correct. And the record no longer lives in .scratch: PROJECT-WORK.md said four anchors were dispositioned and pointed at a file `wt tidy` deletes without asking; it now says fourteen, states that nine are fixed and five were not, and points at the tracked anchor table in cold-audit-report.md.		yes	The five that remain wrong at the audit's reading are each carried by their own standing finding in this ledger.
LEAD-011	scripts/_chronology.py::_system_loci; guidance/scripture-chronology.md §3.0.1 and §9.3; coverage --json native_systems	major	CHANGES_REQUIRED	fixed	scripts/_deuterocanon._printed via scripts/_chronology._system_loci; tools/tpt scripture-chronology coverage --json	guidance/scripture-chronology.md sections 9.2 and 15.1(10); PROJECT-WORK.md, the World English Catholic paragraph	no claims; the counted universe and its published figures	guidance/scripture-chronology.md	Most of this finding was applied by the lead during the package: _system_loci enumerates from the printed witness, guidance section 3.0.1 reads "1 355 of its 1 356 printed loci", section 9.3 reads 1 356 / 6 / 37 171 and "2 088 of the 2 094 loci it prints", and PROJECT-WORK.md's tables carry a restatement note. Three residues of the old universe survived and are now corrected: section 9.2's "1 400 native loci ... ten of those", and the figure 2 131 standing twice in guidance section 15.1(10) and twice in PROJECT-WORK.md, in the same documents whose tables now print 2 094.	tools/tpt scripture-chronology coverage --json, and rebuild src/sources/chronology/coverage.tsv in the same commit (`build`, then `check`)	yes	APPLIED ALREADY — DO NOT RE-APPLY. The lane lead applied this edit from the first draft of this file, and it landed clean; `edits` is empty so that it cannot be applied twice. The three edits spanned two files — two in guidance/scripture-chronology.md and one in PROJECT-WORK.md — which the one-file-per-finding output shape does not express; all three landed correctly and are verified in the working tree. Figures recomputed independently rather than taken from the finding: greek Ecclus prints 1 356 loci and exactly one (36:16) corresponds safely, so 1 355 refuse; additional native loci 1 356 + 6 = 1 362; loci lacking a chronology status of their own 1 + 6 = 7, and PROJECT-WORK.md now records that all seven answer `research-pending`, so section 9.2's old "no chronology status of their own at all" was stale in substance as well as in number. STILL TO SWEEP, and not proposed as edits because the lead was editing that file throughout: scripts/_chronology.py carried the same figures in two comments when this lane began ("all 2 131 of its loci" near the WEC two-hop note, "2 122 of its 2 131 loci" in the coverage section). Grep for `2 131`, `2 122` and `2 194` before committing, and rebuild coverage.tsv.
LEAD-013	event:israel.exile.second-captivity#0	major	CHANGES_REQUIRED	fixed	bible:douay-rheims:4Kings.24.12	4Kings.24.12 and 4Kings.24.8, tracked Douay-Rheims (read with .scratch/cold-audit/verse.py)	event:israel.exile.second-captivity, new claim (becomes #1 in file order)	src/sources/chronology/events.yaml	A rank-1 claim from 4 Kings 24:12 is authored on israel.exile.second-captivity and made `preferred`, giving the subject the shape israel.exile.first-captivity already has (Scripture preferred, Usher-via-Haydock alternate). Both verses were read out of the tracked Douay with verse.py, not from memory.	tools/tpt scripture-chronology validate; tools/tpt scripture-chronology query 4Kings.24.12	yes	MUST land with E2-007's demotion of the A.M. 3405 claim; either alone is a load error (two preferred, or two claims with neither preferred nor disputed). 4 Kings 24:12 is not authored as any claim's source anywhere in the corpus today - it appears only in the narrated-event binding at bindings.yaml:1311 - so this is not the Sec. 6 duplication the brief warns of. I did NOT touch the third captivity: Scripture is already authored there on israel.exile.final-siege and israel.exile.burning-of-the-temple, and re-authoring it on the parent would give one event two dates. `relative` carries only {of, statement}; the anchor israel.exile.nabuchodonosor-accession already exists and is itself pinned by Jeremias 25:1, so the regnal year is measured from something the corpus holds.
LEAD-014	event:israel.exodus.the-exodus#0..#3	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", the Exodus sections (retained text lines 164, 168)	event:israel.exodus.the-exodus (subject note) and #3	src/sources/chronology/events.yaml	The Septuagint-440 claim is re-disposed `alternate` beneath the rank-1 Douay reading, and the subject note now carries the encyclopedia's staging of the traditional against the modern reckoning, including the modern figure withdrawn under E1-009 and the source's own boundary sentence, so the boundary stays visible without a modern figure being held as a claim.	tools/tpt scripture-chronology validate; tools/tpt scripture-chronology query Ex.12.41	yes	I kept the Septuagint variant as a separate `alternate` claim rather than folding it into #2 as the finding suggests. Folding would delete a sourced claim, with its own provenance and its own source record, into prose - and Sec. 4.4 says an alternate is 'a sourced claim not displayed first, kept queryable with its provenance', which is exactly what this is. Nothing turns on it either way for what a consumer is shown first, and keeping it preserves the disagreement Sec. 4.4 asks to be preserved. All four claims on the subject were checked against Sec. 4.4 after the change: one `preferred` (rank 1, 3 Kings 6:1, E1-010), two `alternate` (rank 6, 1490 B.C. under E1-008 and the Septuagint 440 here), none `disputed`, and the preferred claim's rank is strictly higher than every alternate's, so the disposition holds without needing the explicit-note clause. The subject-note edit overlaps nothing else; the three edits in this element and those in E1-008, E1-009 and E1-010 are all disjoint substrings and may be applied in any order.
LEAD-015	event:israel.monarchy.demand-for-a-king#0 -> event:israel.judges.period#0 -> event:israel.monarchy.saul-accession	major	CHANGES_REQUIRED	fixed	bible:douay-rheims:Acts.13.17-21; bible:douay-rheims:1Kings.8.1-5	Acts 13:17-21; 1 Kings (1 Samuel) 8:1-5	event:israel.judges.period (event-level note); the chain event:israel.monarchy.demand-for-a-king#0 -> event:israel.judges.period#0	src/sources/chronology/events.yaml	The chain demand-for-a-king -> judges.period -> saul-accession is broken at hop two by A2-029, which moves the anchor off the period's own terminus. This row corrects the ground the chain stood on: the subject note asserted that BOTH tracked-Douay figures are durations of the judges, which the Douay's word order refutes for the four hundred and fifty years - they stand before the judges are mentioned and measure what precedes them. The note now says so, names Jephte's three hundred years as the one figure that is a duration and where it is held, and records that no anchor on the monarchy is carried.	A traversal check that no event's relative anchor is a descendant or successor of the event itself would not catch this (there is no cycle); a check that no event whose only claim is disposition 'alternate' is used as a relative anchor by a 'preferred' claim would have caught the saul-accession case. Worth considering.	yes	LEAD-015's proposed remedy - re-type israel.judges.period#0 as precision duration - is NOT taken, and must not be. Acts 13:20 in the tracked Douay reads "As it were, after four hundred and fifty years. And after these things, he gave unto them judges": the figure precedes the judges, so a duration of 450 years on this subject would assert precisely the attachment the claim's own note denies and would replace a wrong anchor with a wrong length. The chain is dissolved instead by A2-029's re-anchoring, which is sufficient: demand-for-a-king#0 is left exactly as it is - a relative naming judges.period with no offset - which is what LEAD-015 itself says to do, and which no longer reaches saul-accession.
LEAD-016	binding:narrated-event:life-of-christ.crucifixion@Matt.27.33-54	major	CHANGES_REQUIRED	fixed	bible:douay-rheims:Matt.27.50-56	Matthew 27:51-54	binding:narrated-event:life-of-christ.crucifixion@Matt.27.33-54 (note only; scope unchanged)	src/sources/chronology/bindings.yaml	The qualification is recorded in the binding's note and the range is left alone. Read in the tracked Douay, 27:52-53 is ONE sentence — 52 ends in a comma and 53 completes it — so a boundary between them would cut a sentence the text does not divide. The note now says which part of the pericope this binding does not date, in the same voice in which it already says the darkness is not four-witness matter.		yes	APPLIED ALREADY — DO NOT RE-APPLY. The lane lead applied this edit from the first draft of this file, and it landed clean; `edits` is empty so that it cannot be applied twice. I weighed splitting and rejected it on four grounds. (1) The split would fall inside one Douay sentence, so the corpus would assert a division the text does not make. (2) Matthew narrates the graves opening at the moment of death, which is the verifier's point and it survives. (3) Narrowing to 27:33-52 + 27:54 would replace one clean Matthew boundary with two and leave 27:53 with no narrated-event at all, because this corpus holds no event for the saints' entry into the holy city; nothing would be truer. (4) A binding carries no date (section 6) and the query returns the authored scope with every assertion, so a qualification of extent belongs in the note, where this note already qualifies extent twice. The other seven boundaries are untouched. If a later lane authors an event for the entry into the city, THIS note is what should send it to split the range.
LEAD-017	unit:composition.book-of-jonas#0	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08497b-3ef68123	Driscoll, "Jonah", the authorship paragraph and the paragraph on the Assyrian setting	gaps.yaml, new row scope {book: Jon}; replaces unit:composition.book-of-jonas#0	src/sources/chronology/gaps.yaml	Typed silence is authored for the composition of Jonas, on the Esdras pattern, naming the article inspected and quoting the sentence that shows it dates no act of writing. This is the second half of the withdrawal made under E3-010.	tools/tpt scripture-chronology validate; tools/tpt scripture-chronology coverage; tools/tpt scripture-chronology build	yes	MUST land in the same commit as E3-010, which removes the unit; the row without the removal is a gap row behind a live composition claim, and the removal without the row drops 48 verses to research-pending. The row names a source record, which is the guard Sec. 9.2 relies on. The lead may also want to bump gaps.yaml's `updated:` field, which still reads 2026-08-26; I left it alone rather than guess the commit date. I did NOT substitute the article's 'probably the fifth century B.C.' anywhere, and I did not author the narrated-event figures as claims - that would be new population outside this finding.
N-006	translation-independent-identity/A+B/gate-soundness-and-greek-sirach-extent	major	CHANGES_REQUIRED	fixed		scripts/_chronology.py _refuse_duplicated_native_scopes	no data changed	scripts/_chronology.py, tools/scripture-chronology, tools/tests/test_chronology.py	The gate walks every locus the witness prints inside a native span rather than probing span.first, and refuses a duplicated FACT rather than a safe correspondence. It asks the module that owns the system which kind it is: a psalter renumbering (hebrew, _psalms) may never date natively where the concordance carries; a witness to another text (greek, world-english-catholic, _deuterocanon) is refused only where it would restate a claim the preferred locus already holds. The Greek Sirach scope survives, as the audit and directions §15 require.	LoadRefusalTests.test_a_native_span_is_validated_past_its_first_locus; LoadRefusalTests.test_a_psalter_numbering_may_never_date_a_psalm_natively; TrackedHardCaseTests.test_a_witness_to_a_different_text_may_date_it_where_it_corresponds	yes	The mixed-span fixture is demonstrated to load under the old one-locus gate and to be refused by the new one. Commit 9d999c94f.
P-004	event:israel.exodus.the-exodus#1	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	Howlett, "Biblical Chronology", section "The Exodus to the building of Solomon's Temple"	event:israel.exodus.the-exodus#1 (withdrawn under E1-009)	src/sources/chronology/events.yaml	CONFIRMED, and satisfied in full by E1-009's edit, which removes the claim outright instead of demoting it to `alternate`. No further edit: applying anything here would double-apply.	tools/tpt scripture-chronology query Ex.12.41 (must no longer return 'about 1277')	yes	THIS ELEMENT CARRIES NO EDIT ON PURPOSE - it is the same defect and the same text as E1-009, and the brief's rule about overlapping `old` strings applies. The finding asked for `alternate`; removal is stronger and is what Sec. 4.3 requires, because the reporting licence that would justify an alternate is granted to Ussher by name and to no one else. Sec. 4.3's two paragraphs read side by side are the whole of it: Ussher 'may be reported where a ranked Catholic source itself prints his figures', modern critical chronology is 'Not consulted, not used to adjust a traditional date, not treated as a correction'. The finding's supporting observation - that ordering falls through to the date's rendering when no claim is preferred - is fixed as a side effect: after E1-010 the subject has a preferred claim and the rank-1 verse is returned first.
P-011	event:israel.exile.second-captivity#0	major	CHANGES_REQUIRED	fixed	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	Ps.70.1 note, artifact PDF page 776 (printed p. 740); and 4Kings.24.12, tracked Douay-Rheims	event:israel.exile.second-captivity#1 (the 597 B.C. claim; becomes #2 in file order after LEAD-013's insertion)	src/sources/chronology/events.yaml	CONFIRMED. Its two substantive demands - author the rank-1 4 Kings 24:12 claim as preferred, and demote A.M. 3405 to alternate, including the de-quoting of the reconstructed basis string - are carried by LEAD-013 and E2-007. What remains and is carried here is the consequence on the sibling claim: the 597 B.C. claim's note calls A.M. 3405 'the Anno Mundi figure preferred above', which stops being true.	tools/tpt scripture-chronology query 4Kings.24.12	yes	Sec. 4.4 re-checked across every sibling on this subject after the three edits land: 4 Kings 24:12 `preferred` at rank 1; A.M. 3405 `alternate` at rank 3; 597 B.C. `alternate` at rank 6; none `disputed`. Exactly one preferred, and its rank is strictly higher than both alternates', so the disposition stands on rank alone. The 597 B.C. claim's substance - that it is a different source on a different reckoning and must never be presented as the A.M. figure's conversion - is untouched and still correct. Overlapping-text warning: this edit is inside the same claim block E2-007 and LEAD-013 leave alone, so all three are disjoint and order does not matter.
S1-003	unit:composition.third-book-of-kings#0	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08652a-189e1a8f	Schets, "Third and Fourth Books of Kings", CE vol. 8 (1910), retained text line 24: the paragraph closing the contents survey, and the authorship paragraph following it	unit:composition.third-book-of-kings#0 and unit:composition.fourth-book-of-kings#0 (each demoted to alternate and re-noted); one new preferred claim on each unit	src/sources/chronology/composition.yaml	The 587 B.C. figure stops being preferred: it is demoted to alternate with its conditionality stated on its face, and the article's only unconditional statement about the writing - that the books were not completed before the middle of the Exile - is authored as the preferred claim, as a relative date anchored on israel.exile.seventy-years, with no year invented. The identical defect on 4 Kings is corrected the same way, because the article treats III and IV Kings as one work.	tools/tpt scripture-chronology validate; query 3Kings.10.1 and 4Kings.10.1 must no longer return 587 B.C. as preferred	yes	A gaps.yaml row would be WRONG here and I authored none: unlike Esdras and unlike Jonas, this article does bound the writing - "not completed in their present form before the middle of the Exile" - and SS8 admits composition "to the degree an inspected source actually dates or bounds the writing", so undated-in-tradition would assert a silence the source does not keep. No year is put on "the middle of the Exile"; the 562 in the same passage is Joachim's release and is quoted only as the article's ground. Preferred beside alternate needs an explicit note under SS4.4 because both claims come from the same rank-6 artifact; that note is written on the preferred claim. Anchor israel.exile.seventy-years exists in events.yaml (title "The seventy years of servitude to Babylon") and a relative date carries only {of, statement, note}, so nothing computes. 4 KINGS CARRIES NO FINDING OF ITS OWN in any of the twelve packages I checked, so its identical claim would otherwise be left standing; the second edit here is that correction and the lead may want it logged separately.
S1-010	unit:composition.book-of-osee#1	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-11.new-york-1911.newadvent-11337a-2a862b12	Cales, "Osee", CE vol. 11 (1911), section "Time of his ministry" (retained text line 30); the whole article read for any treatment of the writing	unit:composition.book-of-osee#0 and #1 (unit withdrawn); new event:israel.divided-kingdom.osee-ministry#0 (preferred, about 750-735) and #1 (alternate, from about 750 to 725 B.C.); two new bindings	src/sources/chronology/composition.yaml + events.yaml + bindings.yaml (every edit names its own file)	The whole composition unit for Osee is withdrawn, because the article dates the prophet's ministry and nowhere treats the writing or compilation of the book; both of its ranges are re-authored once on a new event israel.divided-kingdom.osee-ministry and reached from Osee by a prophecy-given binding over the book and a superscription-setting binding over the title verse Os.1.1.	tools/tpt scripture-chronology validate; query Os.4.1 must return prophecy-given and no composition assertion; query Os.1.1 must additionally return superscription-setting; coverage must show Osee `dated`, not `composition-only`	yes	THREE FILES: the unit is removed from composition.yaml and replaced by a lane comment in the corpus's own idiom; the event is inserted in events.yaml immediately before israel.divided-kingdom.fall-of-samaria (750-735 precedes 722); the two bindings are appended at the end of bindings.yaml. BEYOND THE LITERAL FINDING, as the finding's own COLLATERAL note anticipated: I withdraw the PREFERRED sibling #0 as well as #1. Verification is right that #0 has the same category error - its source sentence dates "The era of the Prophet", its own note conceded that "the article does not treat the writing or compilation of the book separately", and the whole passage sits under the heading "Time of his ministry". Fixing only #1 would leave the same error standing as the profile's FIRST answer for every verse of Osee, which is worse than the finding it was raised for. I read the article in full: sections "The book of Osee", "Style and text", "Teaching" and the rest treat authorship, integrity and doctrine and date the writing nowhere. NO gaps.yaml row is needed: prophecy-given is a substantive relation, so the whole-book binding makes every verse of Osee `dated` rather than composition-only. Osee carries no bindings at all today, so nothing collides. The superscription binding is scoped to Os.1.1 alone; the Douay of that verse is quoted in the binding note and was read with verse.py, not from memory.
S2-012	unit:composition.book-of-jonas#0	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08497b-3ef68123	Driscoll, "Jonah", CE vol. 8 (1910), retained text line 51, the authorship paragraph	unit:composition.book-of-jonas#0 (already withdrawn); gaps.yaml row over {book: Jon} (already authored)	src/sources/chronology/composition.yaml	ALREADY APPLIED IN THE WORKING TREE, and re-verified against the source: unit:composition.book-of-jonas is gone from composition.yaml and an undated-in-tradition row over {book: Jon} stands in gaps.yaml naming the artifact. No further edit is proposed.	tools/tpt scripture-chronology validate; query Jon.1.1 must return undated-in-tradition with no assertion	yes	FILES MOVED UNDER ME. When I began, the unit was present; at 13:39 today composition.yaml, events.yaml and gaps.yaml were all rewritten - evidently the lead applying pkg-PROFILE - and Jonas was among the corrections landed. I re-read the applied gap row in full against the retained Driscoll text and it is correct and complete: it quotes the whole authorship sentence, states that the eighth century is the prophet's supposed lifetime in a parenthesis whose main clause denies the ascription, cites SS8 for why authorship does not carry it, excludes "probably the fifth century B.C." as the "most modern scholars" voice under SS4.3, and refuses the 770-745 and 765-759 figures as belonging to what the book narrates. It says everything my own draft would have said and is better on the second figure. Nothing of my finding remains outstanding. ONE OBSERVATION FOR THE LEAD, not a defect: Jonas carries no bindings at all, so every verse of the book now answers undated-in-tradition; authoring a narrated event for the mission to Ninive from the article's "period of Assyrian decadence" statement would displace the row for the verses it reached, but that is new population and no finding requires it. pkg-PROFILE E3-010 and LEAD-017 are the same finding; do not apply anything twice.
S5-007	unit:composition.book-of-abdias#0	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01030b-f708bbb1	Gigot, "Abdias", CE vol. 1 (1907), section "Date of the prophecy of Abdias", read in full	unit:composition.book-of-abdias#0 (note only; disposition already corrected in the tree)	src/sources/chronology/composition.yaml	The disposition half of this finding is already applied in the working tree (preferred -> disputed). What remains is the note's stated ground for dropping the two rival opinions - "because the source prints no year for either" - which the retained text does not bear out; it is replaced by the true grounds, which differ for the two opinions.	tools/tpt scripture-chronology validate (SS4.4: no preferred beside disputed on this unit)	yes	PARTIALLY SUPERSEDED. When I opened the file the claim was `preferred`; it is now `disputed` with a long added note - pkg-PROFILE E3-009, applied by the lead at 13:39. That half of my finding is discharged. The false ground remains and is what my one edit corrects. WHERE I DIFFER FROM E3-009, and the lead must choose: E3-009 says "do not author the Babylonian-Captivity or later opinions, which the source prints with no year". Having read the section, I judge that ground insufficient for the SECOND opinion - "Other scholars, among whom may be mentioned Meyrick, Jahn, Ackerman , Allioli , etc., refer the composition of the book to about the time of the Babylonian Captivity , some three centuries after King Joram" - because a `relative` date carries exactly that shape ({of, statement}, no magnitude), the corpus already uses it on neighbouring units, and Jahn and Allioli are Catholic authors reported by a ranked Catholic source, not the modern critical voice. I agree with E3-009 about the THIRD opinion and for a different reason: it names no author and its ground is a dating of Joel, Daniel and Zacharias 9-14 "long after the return from Babylon", which is squarely the chronology SS4.3 excludes. My edit states both grounds and authors nothing, so it does not contradict the applied E3-009 decision. If the lead wants the second opinion authored, the exact claim to append after the existing date block on this unit is: - profile: catholic-traditional-v1 disposition: disputed basis: >- The same section states the second of its three leading opinions: "Other scholars, among whom may be mentioned Meyrick, Jahn, Ackerman , Allioli , etc., refer the composition of the book to about the time of the Babylonian Captivity , some three centuries after King Joram." sources: [artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01030b-f708bbb1] note: >- No year, and none is supplied: the article states this opinion only in relation to the Captivity and to the reign of Joram, and "some three centuries" is not converted into endpoints. The "(588-587 B.C.)" the same section prints belongs to the capture of Jerusalem by Nabuchodonosor, which these scholars read Abdias 11-14 of, and not to the writing. Jahn and Allioli are named Catholic authors reported by a ranked Catholic source, so this is not the modern critical voice SS4.3 excludes; it is one of three opinions the article declines to choose between, which is why every claim on this unit is disputed. date: precision: relative relative: of: israel.exile.seventy-years statement: >- about the time of the Babylonian Captivity , some three centuries after King Joram label: "about the time of the Babylonian Captivity, some three centuries after King Joram" It would make three disputed claims on the unit and no preferred, which SS4.4 allows.
S6-007	unit:composition.second-book-of-machabees#0	major	CHANGES_REQUIRED	fixed	artifact.catholic-encyclopedia.volume-9.new-york-1910.newadvent-09495a-6afd1136	Bechtel, "The Books of Machabees", CE vol. 9 (1910), II Mach., sections "Contents" (retained line 68), "Object and character" (line 74) and "Author and date" (line 78)	unit:composition.second-book-of-machabees#0 (scope, title and note); new units composition.second-book-of-machabees.first-letter and composition.second-book-of-machabees.second-letter	src/sources/chronology/composition.yaml	The unit's whole-book scope is narrowed to the epitome, 2Mach 2:20-15:40, exactly as the article bounds it, and the two prefixed letters become units of their own carrying the article's own dates: 124 B.C. for the first and about 163 B.C. for the second.	A test is warranted in tools/tests/test_chronology.py: 2Mach.1.10 must answer 124 B.C. and 2Mach.1.15 must answer about 163 B.C., neither with the epitome's date; and 2Mach.2.19 and 2Mach.2.20 must fall on opposite sides of the letter/epitome boundary	yes	BOUNDARY DECISION, and it differs from the recommended action. The audit proposed 2Mach.1.1-1.10 for the first letter and 2Mach.1.10-2.19 for the second, which OVERLAP at 1:10. I read the loader before adopting that: Unit.width() in scripts/_chronology.py returns 0/1/2 for whole-book / whole-chapter / verse-range and not a verse count, so both proposed units are width 2; _refuse_ambiguous_inheritance keys on the span's starting chapter and first verse, so it would not fire on (2Mach,1,1) against (2Mach,1,10); and the query then resolves with `unit.width() > best.width()`, which on equal widths keeps whichever unit it met first. That is a date resolving successfully by authoring order, which is exactly what SS7 refuses. So the scopes here do not overlap: 1:1-1:10 and 1:11-2:19. The Douay's 1:10 genuinely straddles Bechtel's division - its opening clause "In the year one hundred and eighty-eight" ends the first letter and the rest is the second letter's address - and it is assigned to the first letter, which is where the date it prints belongs; both unit notes say so plainly. Verse boundaries read in the tracked Douay: 2Mach 1 has 36 verses, 2:19 ends "and hath cleansed the place", 2:20 opens "Now as concerning Judas Machabeus", 15:40 ends the book - matching the article's own "ii, 20-xv, 40". Each new unit carries a sole preferred claim, so SS4.4 is trivially satisfied. Consumer effect: 2Mach.1.11 through 2:19, which today answer with the epitome's 124 B.C., will answer about 163 B.C.
