locus	vendored_reading	american_edition_reading
Lev.16.6	And when he hath offered the cattle and prayed for himself and for his own house:	And when he hath offered the calf and prayed for himself, and for his own house,
Lev.16.10	But that whose lot was to be the emissary goat, he shall present before the Lord, that he may pour prayers upon him, and let him go into the wilderness.	But that whose lot was to be the emissary goat, he shall present alive before the Lord, that he may pour out prayers upon him, and let him go into the wilderness.
Lev.16.12	And taking the censer, which he hath filled with the burning coals of the altar, and taking up with his hands the compounded perfume for incense, he shall go in within the veil into the holy place:	And taking the censer, which he hath filled with the burning coals of the altar, and taking up with his hand the compounded perfume for incense, he shall go in within the veil into the holy place:
Lev.16.20	After he hath cleaned the sanctuary, and the tabernacle, and the altar, then let him offer the living goat.	After he hath cleansed the sanctuary, and the tabernacle, and the altar, then let him offer the living goat:
Lev.16.21	And putting both hands upon his head, let him confess all the iniquities of the children of Israel, and all their offences and sins. And praying that they may light on its head, he shall turn him out by a man ready for it, into the desert.	And putting both hands upon his head, let him confess all the iniquities of the children of Israel, and all their offences and sins: and praying that they may light on his head, he shall turn him out by a man ready for it, into the desert.
Lev.16.24	He shall wash his flesh in the holy place, and shall put on his own garments. And after that he is come out and hath offered his own holocaust, and that of the people, he shall pray both for himself, and for the people.	He shall wash his flesh in the holy place, and shall put on his own garments. And after that he has come out and hath offered his own holocaust, and that of the people, he shall pray both for himself, and for the people:
Lev.16.25	And the fat that is offered for sins, he shall burn on the altar.	And the fat that is offered for sins, he shall burn upon the altar.
Lev.16.34	And this shall be an ordinance for ever, that you pray for the children of Israel, and for all their sins once a year. He did therefore as the Lord had commanded Moses.	And this shall be an ordinance for ever, that you pray for the children of Israel, and for all their sins once in a year. He did therefore as the Lord had commanded Moses.
Lev.19.14	Thou shalt not speak evil of the deaf, nor put a stumbling block before the blind: but thou shalt fear the Lord thy God, because I am the Lord.	Thou shalt not speak evil of the deaf, nor put a stumblingblock before the blind: but thou shalt fear the Lord thy God, because I am the Lord.
Lev.20.2	Thus shalt thou say to the children of Israel: If any man of the children Israel, or of the strangers that dwell in Israel, give of his seed to the idol Moloch, dying let him die. The people of the land shall stone him.	Thus shalt thou say to the children of Israel: If any man of the children of Israel, or of the strangers, that dwell in Israel, give of his seed to the idol Moloch, dying let him die: the people of the land shall stone him.
Lev.21.10	The high priest, that is to say, the priest who is the greatest among his brethren, upon whose head the oil of unction hath been poured; and whose hands have been consecrated for the priesthood; and who hath been vested with the holy vestments. He shall not uncover his head: he shall not rend his garments.	The high priest, that is to say, the priest, is the greatest among his brethren. upon whose head the oil of unction hath been poured, and whose hands have been consecrated for the priesthood, and who hath been vested with the holy vestments, shall not uncover his head, he shall not rend his garments:
Lev.21.15	He shall not mingle the stock of his kindred with the common people of this nation: for I am the Lord who sanctify him.	He shall not mingle the stock of his kindred with the common people of his nation: for I am the Lord who sanctify him.
Lev.22.24	you shall not offer to the Lord any beast that hath the testicles bruised, or crushed, or cut and taken away: neither shall you do any such things in your land.	You shall not offer to the Lord any beast that hath the testicles bruised, or crushed, or cut and taken away: neither shall you do any such thing in your land.
Lev.23.14	You shall not eat either bread, or parched corn, or frumenty or the harvest, until the day that you shall offer thereof to your God. It is a precept for ever throughout your generations, and all your dwellings.	You shall not eat either bread, or parched corn, or frumenty of the harvest, until the day that you shall offer thereof to your God. It is a precept for ever throughout your generations, and all your dwellings.
Lev.23.15	You shall count therefore from the morrow after the sabbath, wherein you offered the sheaf of firstfruits, seven full weeks.	You shall count therefore from the morrow after the sabbath, wherein you offered the sheaf of the firstfruits, seven full weeks.
Lev.24.2	Command the children of Israel, that they bring unto thee the finest and clearest oil of olives, to furnish the lamps continually,	Command the children of Israel, that they bring unto thee the finest and dearest oil of olives, to furnish the lamps continually,
Lev.24.7	And thou shalt put upon them the clearest frankincense, that the bread may be for a memorial of the oblation of the Lord.	And thou shalt put upon them the dearest frankincense, that the bread may be for a memorial of the oblation of the Lord.
Lev.25.2	Speak to the children of Israel, and thou shalt say to them: When you shall have entered into the land which I will give you, observe the rest of the sabbath of the Lord.	Speak to the children of Israel, and thou shalt say to them: When you shall have entered into the land which I will give you, observe the rest of the sabbath to the Lord.
Lev.25.5	What the ground shall bring forth of itself, thou shalt not reap: neither shalt thou gather the grapes or the firstfruits as a vintage. For it is a year of rest to the land.	What the ground shall bring forth of itself, thou shalt not reap: neither shalt thou gather the grapes of the firstfruits as a vintage: for it is a year of rest to the land:
Lev.25.18	Do my precepts, and keep my judgments, and fulfil them: that you may dwell in the land without any fear.	Do my precepts, and keep my judgments, and fulfill them: that you may dwell in the land without any fear,
Lev.26.40	Until they confess their iniquities, and the iniquities of their ancestors, whereby they have transgressed against me, and walked contrary unto me.	Until they confess their iniquities and the iniquities of their ancestors, whereby they have transgressed me, and walked contrary unto me.
Lev.26.41	Therefore I also will walk against them, and bring them into their enemies' land until their uncircumcised mind be ashamed. Then shall they pray for their sins.	Therefore I also will walk them, and bring them into their enemies' land until their uncircumcised mind be ashamed: then shall they pray for their sins.
Lev.27.11	An unclean beast, which cannot be sacrificed to the Lord, if any man shall vow, shall be brought before the priest:	An unclean beast, which cannot be sacrificed to the Lord, if my man shall vow, shall be brought before the priest:
Lev.27.21	For when the day of jubilee cometh, it shall be sanctified to the Lord, and as a possession consecrated, pertaineth to the right of the priest.	For when the day of jubilee cometh, it shall be sanctified to the Lord, and as a possession consecrated, pertaineth to the right of the priests.
Num.1.42	Of the sons of Nephtali, by their generations and families and houses of their kindreds, were reckoned up by the names of every one from twenty years old and upward, were able to go forth to war,	Of the sons of Nephtali, by their generations and families and houses of their kindreds, were reckoned up by the names of every one from twenty years old and upward, all that were able to go forth to war,
Num.2.23	And the whole army of fighting men, that were reckoned up, were thirty-five thousand four hundred.	And the whole army of his fighting men, that were reckoned up, were thirty-five thousand four hundred.
Num.2.24	All that were numbered in the camp of Ephraim, were a hundred and eight-thousand one hundred by their troops: they shall march in the third place.	All that were numbered in the camp of Ephraim, were a hundred and eight thousand one hundred by their troops: they shall march in the third place.
Num.3.17	And there were found sons of Levi by their names, Gerson and Caath Merari.	And there were found sons of Levi by their names, Gerson and Caath and Merari.
Num.3.35	Their prince Suriel the son of Abihaiel: their shall camp on the north side.	Their prince Suriel the son of Abihaiel: they shall camp on the north side.
Num.3.39	All the Levites, that I Moses and Aaron numbered according to the precept of the Lord, by their f families, of the male kind from one month and upward, were twenty-two thousand.	All the Levites, that Moses and Aaron numbered according to the precept of the Lord, by their families, of the male kind from one month and upward, were twenty-two thousand.
Num.3.48	And thou shalt give the money to Aaron and his sons, the price of them that are above.	And then shalt give the money to Aaron and his sons, the price of them that are above.
Num.4.26	The curtains of the court, and the veil in the entry that is before tabernacle. All things that pertain to the altar, the cords and the vessels of the ministry,	The curtains of the court, and the veil in the entry that is before the tabernacle. All things that pertain to the altar, the cords and the vessels of the ministry,
Num.4.43	From thirty years old and upward, unto fifty years old, all that go in to fulfil the rites of the tabernacle of the covenant:	From thirty years old and upward, unto fifty years old, all that go in to fulfill the rites of the tabernacle of the covenant:
Num.7.15	An ox of the herd, and a ram, and lamb of a year old for a holocaust:	An ox of the herd, and a ram, and a lamb of a year old for a holocaust:
Num.7.48	The seventh day the prince of the sons of Ephraim, Elisama the son of Ammiud,	The seventh day the prince of the sons of Ephraim, Elisama the son Ammiud,
Num.7.66	The tenth day the princes of the sons of Dan, Ahiezer the son of Ammisaddai,	The tenth day the prince of the sons of Dan, Ahiezer the son of Ammisaddai,
Num.7.89	And when Moses entered into the tabernacle of the covenant, to consult the oracle, he heard the voice of one speaking to him from the propitiatory, that is over the ark between the two cherubims, and from this place he spoke to him.	And when Moses entered into the tabernacle of the covenant, to consult the oracle, he heard the voice of one speaking to him from the propitiatory, that was over the ark between the two cherubims, and from this place he spoke to him.
Num.8.13	And thou shalt set the Levites in the sight of Aaron and of his, and shalt consecrate them being offered to the Lord,	And thou shalt set the Levites in the sight of Aaron and of his sons, and shalt consecrate them being offered to the Lord,
Num.9.12	They shall not leave any thing thereof until morning, nor break a bone thereof, they shall observe all the ceremonies of the phase.	They shall not leave any thing thereof until morning, a nor break a bone thereof, they shall observe all the ceremonies of the phase.
Num.9.14	The sojourner also and the stranger if they be among you, shall make the phase to the Lord according to the ceremonies and justifications thereof. The same ordinances shall be with you both for the stranger, and for him that was born in the land.	The sojourner also and the stranger if they be among you, shall make the phase to the Lord according to the ceremonies and justifications thereof. The same ordinance shall be with you both for the stranger, and for him that was born in the land.
Num.11.7	Now the manna was like coriander seed, of the colour of bdellium.	A Now the manna was like coriander seed, of the colour of bdellium.
Num.11.18	And thou shalt say to the people: Be ye sanctified: to morrow you shall eat flesh: for I have heard you say: Who will give us flesh to eat? It was well with us in Egypt. That the Lord may give you flesh, and you may eat:	And thou shalt say to the people: Be ye sanctified: tomorrow you shall eat flesh: for I have heard you say: Who will give us flesh to eat? it was well with us in Egypt. That the Lord may give you flesh, and you may eat:
Num.12.14	And the Lord answered him: If her father had spitten upon her face, ought she not to have been ashamed for seven days at least? Let her be separated seven days without the camp, and afterwards she shall be called again.	And the Lord answered him: If her father had spitten upon her face, ought she not to have been ashamed for seven days at least? Let her be separated seven days without the camp, and after wards she shall be called again.
Num.13.6	Of the tribe of Simeon, Saphat the son of Huri.	Of the tribe of Simeon, Saphat the son of Hurl.
Num.13.21	The ground, fat or barren, woody or without trees. Be of good courage, and bring us of the fruits of the land. Now it was the time when the firstripe grapes are fit to be eaten.	The ground, fat or barren, woody or without trees. Be of good courage, and bring us of the fruits of the land. Now it was the time when the first ripe grapes are fit to be eaten.
Num.14.1	Therefore the whole multitude crying wept that night.	Wherefore the whole multitude crying wept that night.
Num.14.18	The Lord is patient and full of mercy, by taking away iniquity and wickedness, and leaving no man clear, who visitest the sins of the fathers upon the children unto the third and fourth generation.	The Lord is patient and full of mercy, taking away iniquity and wickedness, and leaving no man clear, who visitest the sins of the fathers upon the children unto the third and fourth generation.
Num.14.25	For the Amalecite and the Chanaanite dwell in the valleys. To morrow remove the camp, and return into the wilderness by the way of the Red Sea.	For the Amalecite and the Chanaanite dwell in the valleys. Tomorrow remove the camp, and return into the wilderness by the way of the Red Sea.
Num.14.34	According to the number of the forty days, wherein you viewed the land: a year shall be counted for a day. And forty years you shall receive your iniquities, and shall know my revenge:	According to the number of the forty days, wherein you viewed the land: year shall be counted for a day. And forty years you shall receive your iniquities, and shall know my revenge:
Num.15.2	Speak to the children of Israel and thou shalt say to them: When you shall be come unto the land of your habitation, which I will give you,	Speak to the children of Israel and thou shalt say to them: When you shall be come into the land of your habitation, which I will give you,
Num.15.7	And he shall offer the third part the same measure of wine for the libation, for a sweet savour to the Lord.	And he shall offer the third part of the same measure of wine for the libation, for a sweet savour to the Lord.
Num.15.8	But when thou offerest a holocaust or sacrifice of oxen, to fulfil thy vow or for victims of peace offerings,	But when thou offerest a holocaust or sacrifice of oxen, to fulfill thy vow or for victims of peace offerings,
Num.15.31	For he hath contemned the word of the Lord, and made void his precept: therefore shall he be destroyed, and shall bear his iniquity.	For he hath contemned the word the Lord, and made void his precept: therefore shall he be destroyed, and shall bear his iniquity.
Num.16.7	And putting fire in them to morrow, put incense upon it before the Lord: and whomsoever he shall choose, the same shall be holy: you take too much upon you, ye sons of Levi.	And putting fire in them tomorrow, put incense upon it before the Lord: and whomsoever he shall choose, the same shall be holy: you take too much upon you, ye sons of Levi.
Num.16.16	And he said to Core: Do thou and thy congregation stand apart before the Lord to morrow, and Aaron apart.	And he said to Core: Do thou and thy congregation stand apart before the Lord tomorrow, and Aaron apart.
Num.16.40	That the children of Israel might have for the time to come wherewith they should be admonished, that no stranger or any one that is not of the seed of Aaron should come near to offer incense to the Lord, lest he should suffer as Core suffered, and all his congregation, according as the Lord spoke to Moses.	That the children of Israel might have for the time to come wherewith they should be admonished, that no stranger or any one that is not of seed of Aaron should come near to offer incense to the Lord, lest he should suffer as Core suffered, and all his congregation, according as the Lord spoke to Moses.
Num.16.43	Moses and Aaron fled to the tabernacle of the covenant. And when they were gone into it, the cloud covered it, and the glory of the Lord appeared.	Moses and Aaron fled to the tabernacle of the covenant. And when the were gone into it, the cloud covered it, and the glory of the Lord appeared.
Num.19.13	Every one that toucheth the corpse of a man, and is not sprinkled with this mixture, shall profane the tabernacle of the Lord, and shall perish out of Israel: because he was not sprinkled with the water of expiation, he shall be unclean, and his uncleanness shall remain upon him.	Every one that toucheth the corpse of a man, and is not sprinkled with mixture, shall profane the tabernacle of the Lord, and shall perish out of Israel: because he was not sprinkled with the water of expiation, he shall be unclean, and his uncleanness shall remain upon him.
Num.21.14	Wherefore it is said in the book of the wars of the Lord: As he did in the Red Sea, so will he do in the streams of Arnon.	Wherefore it is said in the book of the wars of the Lord: As he did in the Red Sea, so will he do in the streams of Amen.
Num.21.26	Hesebon was the city of Sehon the king of the Amorrhites, who fought against the king of Moab: and took all the land, that had been of his dominion, as far as the Arnon.	Hesebon was the city of Sehon the king of the Amorrhites, who fought against the king of Moab: and took all the land, that had been of his dominions, as far as the Arnon.
Num.22.5	He sent therefore messengers to Balaam the son of Beor, a soothsayer, who dwelt by the river of the land of the children of Ammon, to call him, and to say: Behold a people is come out of Egypt, that hath covered the face of the earth, sitting over against me.	He sent therefore messengers to Balaam the son of Beer, a soothsayer, who dwelt by the river of the land of the children of Ammon, to call him, and to say: Behold a people is come out of Egypt, that hath covered the face of the earth, sitting over against me.
Num.22.7	And the ancients of Moab, and the elders of Madian, went with the price of divination in their hands. And where they were come to Balaam, and had told him all the words of Balac:	And the ancients of Moab, and the elders of Madian, went with the price of divination in their hands. And when they were come to Balaam, and had told him all the words of Balac:
Num.23.19	God is not a man, that he should lie, nor is the son of man, that he should be changed. Hath he said then, and will he not do? hath he spoken, and will he not fulfil?	God is not a man, that he should lie, nor as the son of man, that he should be changed. Hath he said then, and will he not do? hath he spoken, and will he not fulfill?
Num.24.3	He took up his parable and said: Balaam the son of Beor hath said: The man hath said, whose eye is stopped up:	He took up his parable and said: Balaam the son of Beor hath said: The man hath said, whose eye ire stopped up:
Num.24.7	Water shall flow out of his bucket, and his seed shall be in many waters. For Agag his king shall be removed, and his kingdom shall be taken away.	Water shall flow out of his bucket, and his seed shall be in many waters. For Agag his king shall be removed, and his kingdom shall be taken awry.
Num.25.17	Let the Madianites find you their enemies, and slay you them:	Let the Madianites find you enemies, and slay you them:
Num.25.18	Because they also have acted like enemies against you, and have guilefully deceived you by the idol Phogor, and Cozbi their sister, a daughter of a prince of Madian, who was slain in the day of the plague for the sacrilege of Phogor.	Because they also have acted like enemies against you, and have guilefully deceived you by the idol Phogor, and Cozbi their sister, a daughter of a prince of Madian, who was slain in the day the plague for the sacrilege of Phogor.
Num.26.12	The sons of Simeon by their kindreds: Namuel, of him is the family of the Namuelites: Jamin, of him is the family of the Jaminites: Jachim, of him is the family of the Jachimites:	The sons of Simeon by their kindreds: Namuel, of him is the family of the Namuelites: Jamin, of him is the family of the Jaminites: Jachin, of him is the family of the Jachinites:
Num.26.29	Of Manasses was born Machir, of whom is the family of the Machirites. Machir begot Galaad, of whom is the family of the Galaadites.	Of Manasses was born Machir, of whom is the family of the Machirites. Machir beget Galaad, of whom is the family of the Galaadites.
Num.26.58	These are the families of Levi: The family of Lobni, the family of Hebroni, the family of Moholi, the family of Musi, the family of Core. Now Caath begot Amram:	These are the families of Levi: The family of Lobni, the family of Hebroni, the family of Moholi, the family of Musi, the family of Core. Now Caath beget Amram:
Num.28.4	One you shall offer in the mornings, and the other in the evening:	One you shall offer in the morning, and the other in the evening:
Num.28.20	And for the sacrifice of every one three tenths of flour which shall be tempered with oil to every calf, and two tenths to every ram,	And for the sacrifices of every one three tenths of flour which shall be tempered with oil to every calf, and two tenths to every ram,
Num.30.3	If any man make a vow to the Lord, or bind himself by an oath: he shall not make his word void but shall fulfil all that he promised.	If any man make a vow to the Lord, or bind himself by an oath: he shall not make his word void but shall fulfill all that he promised.
Num.30.5	Whatsoever she promised and swore, she shall fulfil in deed.	Whatsoever she promised and swore, she shall fulfill in deed.
Num.30.10	The widow, and she that is divorced, shall fulfil whatsoever they vow.	The widow, and she that is divorced, shall fulfill whatsoever they vow.
Num.30.15	But if the husband hearing it hold his peace, and defer the declaring his mind till another day: whatsoever she had vowed and promised, she shall fulfil: because immediately as he heard it, he held his peace.	But if the husband hearing it hold his peace, and defer the declaring his mind till another day: whatsoever she had vowed and promised, she shall fulfill: because immediately as he heard it, he held his peace.
Num.31.8	And their kings Evi, and Recem, and Sur, and Hur, and Rebe, five princes of the nation: Balaam also the son of Beor they killed with the sword.	And their kings Evi, and Recem, and Sur, and Hur, and Rebe, five princes of the nation: Balaam also the son of Beer they killed with the sword.
Num.31.37	Out of which, for the portion of the Lord, were reckoned six hundred seventy five sheep.	Out of which, for the portion of the Lord, were reckoned six hundred seventy-five sheep.
Num.33.49	And there they camped from Bethsimoth even to Ablesatim in the plains of the Moabites,	And there they camped from Bethsi moth even to Ablesatim in the plains of the Moabites,
Num.34.2	Command the children of Israel, and thou shalt say to them: When you are entered into the land of Chanaan, and it shall be fallen into your possession by lot, it shall be bounded by these limits:	Command the children of Israel, and then shalt say to them: When you are entered into the land of Chanaan, and it shall be fallen into your possession by lot, it shall be bounded by these limits:
Num.36.13	These are the commandments and judgment, which the Lord commanded by the hand of Moses to the children of Israel, in the plains of Moab upon the Jordan over against Jericho.	These are the commandments and judgments, which the Lord commanded by the hand of Moses to the children of Israel, in the plains of Moab upon the Jordan over against Jericho.
Deut.4.6	And you shall observe, and fulfil them in practice. For this is your wisdom, and understanding in the sight of nations, that hearing all these precepts, they may say: Behold a wise and understanding people, a great nation.	And you shall observe, and fulfill them in practice. For this is your wisdom, and understanding in the sight of nations, that hearing all these precepts, they may say: Behold a wise and understanding people, a great nation.
Deut.4.8	For what other nation is there so renowned that hath ceremonies, and just judgments, and all the law, which I will set forth this day before our eyes?	For what other nation is there so renowned that hath ceremonies, and just judgments, and all the law, which I will set forth this day before your eyes?
Deut.4.20	But the Lord hath taken you and brought you out of the iron furnaces of Egypt, to make you his people of inheritance, as it is this present day.	But the Lord hath taken you and brought you out of the iron furnace of Egypt, to make you his people of inheritance, as it is this present day.
Deut.4.30	After all the things aforesaid shall find thee, in the latter time thou shalt return to the Lord thy God, and shalt hear his voice.	After all the things aforesaid shall and thee, in the latter time thou shalt return to the Lord thy God, and shalt hear his voice.
Deut.5.1	And Moses called all Israel, and said to them: Hear, O Israel, the ceremonies and judgments, which I speak in your ears this day: learn them, and fulfil them in work.	And Moses called all Israel, and said to them: Hear, O Israel, the ceremonies and judgments, which I speak in your ears this day: learn them, and fulfill them in work.
Deut.5.8	Thou shalt not make to thy self a graven thing, nor the likeness of any things, that are in heaven above, or that are in the earth beneath, or that abide in the waters under the earth.	Thou shalt not make to thyself a graven thing, nor the likeness of any things, that are in heaven above, or that are in the earth beneath, or that abide in the waters under the earth.
Deut.6.20	And when thy son shall ask thee to morrow, saying: What mean these testimonies, and ceremonies and judgments, which the Lord our God hath commanded us?	And when thy son shall ask thee tomorrow, saying: What mean these testimonies, and ceremonies and judgments, which the Lord our God hath commanded us?
Deut.8.18	But remember the Lord thy God, that he hath given thee strength, that he might fulfil his covenant, concerning which he swore to thy fathers, as this present day sheweth.	But remember the Lord thy God, that he hath given thee strength, that he might fulfill his covenant, concerning which he swore to thy fathers, as this present day sheweth.
Deut.11.5	And what he hath done to you in the wilderness, til you came to this place:	And what he hath done to you in the wilderness, till you came to this place:
Deut.11.18	Lay up these words in your hearts and minds, and hang them for a sign on your hands, and place them between your eyes.	Lay up these my words in your hearts and minds, and hang them for a sign on your hands, and place them between your eyes.
Deut.11.32	See therefore that you fulfil the ceremonies and judgments, which I shall set this day before you.	See therefore that you fulfill the ceremonies and judgments, which I shall set this day before you.
Deut.12.9	For until this present time you are not come to rest, and to the possession, which the Lord your God will give you.	For until this present time you are not come to refit, and to the possession, which the Lord your God will give you.
Deut.12.29	When the Lord thy God shall have destroyed before thy face the nations, which thou shalt go in to possess, and when thou shalt possess them, and dwell in their land:	When the Lord thy God shall have destroyed before thy face the nations, which then shalt go in to possess, and when thou shalt possess them, and dwell in their land:
Deut.13.9	But thou shalt presently put him to death. Let thy hand be first upon him, and afterwards the hands of all the people.	But thou shalt presently put him to death. It Let thy hand be first upon him, and afterwards the hands of all the people.
Deut.13.16	And all the household goods that are there, thou shalt gather together in the midst of the streets thereof, and shall burn them with the city itself, so as to comsume all for the Lord thy God, and that it be a heap for ever: it shall be built no more.	And all the household goods that are there, thou shalt gather together in the midst of the streets thereof, and shalt burn them with the city itself, so as to consume all for the Lord thy God, and that it be a heap for ever: it shall be built no more.
Deut.14.17	And the cormorant, the porphirion, and the night crow,	And the cormorant, the porphyrion, and the night crow,
Deut.14.18	The bittern, and the charadrion, every one in their kind: the houp also and the bat.	The bittern, and the charadrion, every one in their kind: the hoop also and the bat.
Deut.15.7	If one of thy brethren that dwelleth within thy gates of thy city in the land which the Lord thy God will give thee, come to poverty: thou shalt not harden thy heart, nor close thy hand,	If one of thy brethren that dwelleth within the gates of thy city in the land which the Lord thy God will give thee, come to poverty: thou shalt not harden thy heart, nor close thy hand,
Deut.15.14	But shall give him for his way out of thy flocks, and out of thy barnfloor, and thy winepress, wherewith the Lord thy God shall bless thee.	But shalt give him for his way out of thy flocks, and out of thy barnfloor, and thy winepress, wherewith the Lord thy God shall bless thee.
Deut.19.4	This shall be the law of the slayer that fleeth, whose life is to be saved: He that killeth his neighbor ignorantly, and who is proved to have had no hatred against him yesterday and the day before:	This shall be the law of the slayer that fleeth, whose life is to be saved: He that killeth his neighbour ignorantly, and who is proved to have had no hatred against him yesterday and the day before:
Deut.20.13	And when the Lord thy God shall deliver it into thy hands, thou shalt slay all that are therein of the male sex, with the edge of the sword,	And when the Lord thy God shall deliver it into thy bands, thou shalt slay all that are therein of the male sex, with the edge of the sword,
Deut.21.1	When there shall be found in the land, which the Lord thy God will give thee, the corpse of a man slain, and it is not known who is guilty of the murder,	Then there shall be found in the land, which the Lord thy God will give thee, the corpse of a man slain, and it is not known who is guilty of the murder,
Deut.21.19	They shall take him and bring him to the ancients of the city, and to the gate of judgment,	They shall take him and bring him to the ancients of his city, and to the gate of judgment,
Deut.22.5	A woman shall not be clothed with man's apparel, neither shall a man use woman's apparel: for he that doth these things is abominable before God.	A woman shall not be clothed with man's apparel, neither shall a man use woman's apparel: for he that doeth these things is abominable before God.
Deut.24.8	Observe diligently that thou incur not the stroke of the leprosy, but thou shalt do whatsoever the priests of the Levitical race shall teach thee, according to what I have commanded them, and fulfil thou it carefully.	Observe diligently that thou incur not the stroke of the leprosy, but thou shalt do whatsoever the priests of the Levitical race shall teach thee, according to what I have commanded them, and fulfill thou it carefully.
Deut.24.11	But thou shalt stand without, and he shall bring out to thee what he hath.	But then shalt stand without, and he shall bring out to thee what he hath.
Deut.26.16	This day the Lord thy God hath commanded thee to do these commandments and judgments: and to keep and fulfil them with all thy heart, and with all thy soul.	This day the Lord thy God hath commanded thee to do these commandments and judgments: and to keep and fulfill them with all thy heart, and with all thy soul.
Deut.27.23	Cursed be he that lieth with his mother-in-law: and all the people shall say: Amen.	Cursed be he that lieth with his mother in law: and all the people shall say: Amen.
Deut.28.52	And consume thee in all thy cities, and thy strong and high wall be brought down, wherein thou trustedst in all thy land. Thou shalt be besieged within thy gates in all thy land which the Lord thy God will give thee:	And consume thee in all thy cities, and thy strong and high walls be brought down, wherein thou trustedst in all thy land. Thou shalt be besieged within thy gates in all thy land which the Lord thy God will give thee:
Deut.28.58	If thou wilt not keep, and fulfil all the words of this law, that are written in this volume, and fear his glorious and terrible name: that is, The Lord thy God:	If thou wilt not keep, and fulfill all the words of this law, that are written in this volume, and fear his glorious and terrible name: that is, The Lord thy God:
Deut.29.9	Keep therefore the words of this covenant, and fulfil them: that you may understand all that you do.	Keep therefore the words of this covenant, and fulfill them: that you may understand all that you do.
Deut.30.4	If thou be driven as far as the poles of heaven, the Lord thy God will fetch thee back from hence,	If thou be driven as far as the poles of heaven, the Lord thy God will fetch thee back from thence,
Deut.30.6	The Lord thy God will circumcise thy heart, and the heart of thy seed: that thou mayst love the Lord thy God with all thy heart and with all thy soul, that thou mayst live.	The Lord thy God will circumcise thy heart, and the heart of thy seed: that then mayst love the Lord thy God with all thy heart and with all thy soul, that thou mayst live.
Deut.30.12	Nor is it in heaven, that thou shouldst say: Which of us can go up to heaven to bring it unto us, and we may hear and fulfil it in work?	Nor is it in heaven, that thou shouldst say: Which of us can go up to heaven to bring it unto us, and we may hear and fulfill it in work?
Deut.31.2	And he said to them: I am this day a hundred and twenty years old, I can no longer go out and come in, especially as the Lord also hath said to me: Thou shalt not pass over this Jordan.	And he said to them: I am this day a hundred and twenty years old, I can no longer go out and come in, especially as the Lord also hath said to me: O Thou shalt not pass over this Jordan.
Deut.31.12	And the people being all assembled together, both men and women, children and strangers, that are within thy gates: that hearing they may learn, and fear the Lord your God, and keep, and fulfil all the words of this law:	And the people being all assembled together, both men and women, children and strangers, that are within thy gates: that hearing they may learn, and fear the Lord your God, and keep, and fulfill all the words of this law:
Deut.32.18	Thou hast forsaken the God that begot thee, and hast forgotten the Lord that created thee.	Thou hast forsaken the God that beget thee, and hast forgotten the Lord that created thee.
Deut.32.46	And he said to them: Set your hearts on all the words, which I testify to you this day: which you shall command your children to observe and to do, and to fulfil all that is written in this law:	And he said to them: Set your hearts on all the words, which I testify to you this day: which you shall command your children to observe and to do, and to fulfill all that is written in this law:
Deut.33.29	Blessed art thou, Israel: who is like to thee, O people, that art saved by the Lord? the shield of thy help, and the sword of thy glory: thy enemies shall deny thee, and thou shalt tread upon their necks.	Blessed are thou, Israel: who is like to thee, O people, that art saved by the Lord? the shield of thy help, and the sword of thy glory: thy enemies shall deny thee, and thou shalt tread upon their necks.
Deut.34.8	And the children of Israel mourned for him in the plains of Moab thirty days: and the days of their mourning in which they mourned Moses were ended.	And the children of Israel mourned for him in the plains of Moab thirty days: and the days of their mourning in which they mourned for Moses were ended.
Jos.1.11	Prepare your victuals: for after the third day you shall pass over the Jordan, and shall go in to possess the land, which the Lord your God will give you.	Prepare you victuals: for after the third day you shall pass over the Jordan and shall go in to possess the land, which the Lord your God will give you.
Jos.1.16	And they made answer to Josue, and said: All that thou hast commanded us, we will do: and whither soever thou shalt send us, we will go.	And they made answer to Josue, and said: All that thou hast commanded us we will do; and whithersoever thou shalt send us, we will go.
Jos.2.8	The men that were hid were not yet asleep, when behold the woman went up to them, and said:	The men that were hidden were not yet asleep, when behold the woman went up to them, and said:
Jos.2.11	And at the hearing these things, we were affrighted, and our heart fainted away, neither did there remain any spirit in us, at your coming in: for the Lord your God he is God in heaven above, and in the earth beneath.	And hearing these things we were affrighted, and our heart fainted away, neither did there remain any spirit in us at your coming in: for the Lord your God he is God in heaven above, and in the earth beneath.
Jos.2.12	Now, therefore, swear ye to me by the Lord, that as I have shewed mercy to you, so you also will shew mercy to my father's house: and give me a true token.	Now therefore swear ye to me by the Lord, that as I have shewn mercy to you, so you also will shew mercy to my father's house: and give me a true token,
Jos.4.6	That it may be a sign among you: and when your children shall ask you tomorrow, saying: What means these stones?	That it may be a sign among you and when your children shall ask you tomorrow, saying: What mean these stones?
Jos.4.18	And when they that carried the ark of the covenant of the Lord, were come up, and began to tread on the dry ground, the waters returned into their channel, and ran as they were wont before.	And when they that carried the ark of the covenant of the Lord, were come up, and began to tread on the dry ground, the waters returned into the channel, and ran as they were wont before.
Jos.6.24	But they burned the city, and all things that were therein; except the gold and silver, and vessels of brass and iron, which they consecrated unto the treasury of the Lord.	But they burned the city, and all things that were therein; except the gold and silver, and vessels of brass and iron, which they consecrated into the treasury of the Lord.
