formulary	oration	latin_incipit	printed_page	ia_leaf	english
post-pentecosten-19	postcommunion	Tua nos	447	455	May the healing efficacy of these thy mysteries, O Lord, mercifully free us from our perverseness, and make us always obedient to thy commandments. Thro’.
post-pentecosten-20	collect	Largire	448	456	Favourably grant, we beseech thee, O Lord, thy servants both pardon and peace; that, being cleansed from the guilt of all their offences, they may serve thee with secure minds. Thro’.
post-pentecosten-20	secret		449	457	May these mysteries, O Lord, we beseech thee, procure us a heavenly remedy, and cleanse away the vices of our hearts. Thro’.
post-pentecosten-20	postcommunion	Ut sacris	449	457	That we may be worthy of thy sacred gifts, O Lord: grant, we beseech thee, we may always obey thy commandments. Thro’.
post-pentecosten-21	collect	Familiam	450	458	Preserve thy family, O Lord, we beseech thee, by thy constant mercy: that under thy protection, it may be freed from all adversity; and by the practice of good works, continue devoted to thy name. Thro’.
post-pentecosten-21	secret		452	460	Mercifully receive, O Lord, these offerings, by which thou art pleased to be appeased, and restore us to salvation by thy powerful goodness. Thro’.
post-pentecosten-21	postcommunion	Immortalitatis	452	460	Having received the food of immortality, we beseech thee, O Lord, that what we have taken with our mouths we may receive with pure souls. Thro’.
post-pentecosten-22	collect	Deus refugium	453	461	O God, our refuge and strength, fountain of all goodness, mercifully give ear to the fervent prayers of thy church, and grant, that what we ask with faith, we may effectually obtain. Thro’.
post-pentecosten-22	secret		454	462	Grant, O merciful God, that this sacrifice of salvation may constantly both free us from our sins, and protect us from all adversity. Thro’.
post-pentecosten-22	postcommunion	Sumpsimus	454	462	Having received, O Lord, the sacred mysteries, we humbly beseech thee, that what thou hast ordered us to do in remembrance of thee, may be a help to our weakness. Thro’.
post-pentecosten-23	collect	Absolve	455	463	Pardon, O Lord, we beseech thee, the sins of thy people: that we may be delivered by thy goodness from the guilt we have contracted by our own weakness. Thro’.
post-pentecosten-23	secret		456	464	We offer thee, O Lord, this sacrifice of praise, as a repeated token of our homage; that thou mayest accomplish in us what thou hast already granted beyond our deserts. Thro’.
post-pentecosten-23	postcommunion	Quæsumus	457	465	We beseech thee, O Almighty God, that thou wouldst not leave exposed to the dangers of this life, those whom thou hast joyfully made partakers of this divine food. Thro’.
post-pentecosten-ultima	collect	Excita	457	465	Stir up, we beseech thee, O Lord, the hearts of thy faithful: that, becoming more zealous in the performance of good works, they may receive from thy goodness more effectual remedies for their disorders. Thro’.
post-pentecosten-ultima	secret		459	467	Mercifully receive, O Lord, the prayers and offerings of thy people: turn our hearts to thee; that being freed from earthly concupiscence, we may desire heavenly pleasures. Thro’.
post-pentecosten-ultima	postcommunion	Concede	459	467	Grant, we beseech thee, O Lord, that whatever vice our souls are subject to may be cured by the virtue of the sacrament we have received. Thro’.
